90 Release D. 0 | is with | Software Revis ion D. 00
• patients | have | Mandatory Ventilation
• patients | have | Intermittent Mandatory Ventilation
• respiration | is | weak
Resp Detection Modes | is In | Auto Detection Mode
monitor | detect | cardiac overlay
you | are monitoring | Resp
respiration detection level | prevent | detection of cardiac overlay
respiration detection level | is | automatically set higher
respiration detection level | prevent | detection of overlay
respiration detection level | is | set higher
respiration detection level | prevent | detection of overlay as respiration
respiration detection level | prevent | detection
respiration detection level | is | set
respiration detection level | is | automatically set
respiration detection level | prevent | detection of cardiac overlay as respiration
overlay | can trigger respiration counter In | Manual Detection Mode
overlay | can trigger | respiration counter
Cardiac overlay | can trigger respiration counter in | certain situations
Cardiac overlay | can trigger | respiration counter
Cardiac overlay | can trigger respiration counter In | Manual Detection Mode
overlay | can trigger respiration counter in | certain situations
Cardiac overlay | can trigger respiration counter in | situations
overlay | can trigger respiration counter in | situations
This | may lead to | false indication
This | may lead to | false indication of respiration rate
This | may lead to | false indication of high respiration rate
overlay | being registered as | breath
cardiac overlay | being registered as | breath
overlay | being | registered
cardiac overlay | being | registered
ing activity | raise | detection level above zone
ing activity | raise | detection level above zone of overlay
ing activity | raise | detection level
ing activity | raise | detection level above zone of cardiac overlay
you | optimize | electrode placement
Resp wave | is | small
Resp wave | is | so small
you | have increased | size
you | have increased | size of respiration wave
you | size of | respiration wave
Speed | are usually viewed at | slower speed than other waveforms
Speed | are usually viewed at | speed
select Size | increase | size
Speed | are usually viewed at | speed than other waveforms
select Size | increase Down | size of wave
Speed | are | usually viewed
Speed | are usually viewed at | slower speed
select Size | increase | size of wave
select Size | increase Down | size
Speed | are | viewed
Speed | are viewed at | slower speed
Speed | are usually viewed at | speed than waveforms
Speed | are usually viewed at | slower speed than waveforms
Speed | are viewed at | speed
Size | increase | size of wave
Speed | are viewed at | slower speed than waveforms
Size | increase Down | size of wave
Size | increase Down | size
Down | decrease | it
Speed | are viewed at | slower speed than other waveforms
♦ | is In | Setup Resp menu
Size | increase | size
Speed | are viewed at | speed than other waveforms
Speed | are viewed at | speed than waveforms
Resp wave | enter | Resp Wave menu
wave | is drawn across | screen in millimeters
wave | is drawn across | screen
wave | is | drawn
wave | is | at which drawn
wave | is | at which drawn across screen in millimeters per mm/s
wave | is drawn across | screen in millimeters per mm/s
screen | is in | millimeters per second mm/s
wave | is | at which drawn across screen
wave | is drawn across | screen in millimeters per second mm/s
wave | is | at which drawn across screen in millimeters per second mm/s
wave | is | at which drawn across screen in millimeters
apnea alarm delay time | defines | time period
monitor | indication of | apnea alarm
monitor | falsely interpret | cardiac activity
monitor | falsely interpret | activity as activity in case of apnea
you | set | detection level
respiratory activity | is in | case of apnea
monitor | falsely interpret | cardiac activity as activity in case of apnea
monitor | falsely interpret | cardiac activity as activity in case
monitor | interpret | activity as activity in case of apnea
monitor | interpret | activity as respiratory activity in case
monitor | falsely interpret | activity
monitor | is | likely
monitor | falsely interpret | activity as activity
you | set too low | detection level
monitor | interpret | cardiac activity as respiratory activity in case of apnea
monitor | interpret | cardiac activity
monitor | interpret | activity
monitor | falsely interpret | cardiac activity as respiratory activity in case
monitor | interpret | cardiac activity as activity in case of apnea
monitor | interpret | activity as respiratory activity
monitor | interpret | cardiac activity as activity
monitor | detect | activity
monitor | detect | cardiac activity
monitor | is | more likely
monitor | interpret | activity as activity in case
monitor | falsely interpret | activity as respiratory activity in case of apnea
monitor | interpret | cardiac activity as respiratory activity in case
monitor | interpret | cardiac activity as activity in case
monitor | interpret | activity as activity
monitor | falsely interpret | cardiac activity as activity
monitor | falsely interpret | cardiac activity as respiratory activity
monitor | interpret | cardiac activity as respiratory activity
you | set low | detection level
monitor | falsely interpret | cardiac activity as respiratory activity in case of apnea
monitor | falsely interpret | activity as activity in case
monitor | interpret | activity as respiratory activity in case of apnea
monitor | falsely interpret | activity as respiratory activity in case
monitor | falsely interpret | activity as respiratory activity
pre-adjusted time | has elapsed since | detected breath
time | has elapsed since | breath
pre-adjusted time | has elapsed since | last breath
time | has elapsed since | last breath
time | has elapsed since | last detected breath
time | has elapsed since | detected breath
pre-adjusted time | has elapsed since | last detected breath
pre-adjusted time | has elapsed since | breath
respiration measurement method | of safety is | particularly apnea
safety | apnea of | prematurity
detection | in safety is | particularly apnea of prematurity of infancy
safety | is in | detection of apnea
Interference | may cause | erroneous measurements
Interference | may cause | erroneous measurements at various frequencies
Interference | operating according to | EMC Standard EN field strengths above 1V/m
Interference | operating according to | EMC Standard field strengths above 1V/m
Interference | may cause | erroneous measurements at frequencies
it | avoid | use of equipment in proximity to respiration measurement unit
it | avoid | use of radiating equipment
it | avoid | use in close proximity to respiration measurement unit
it | avoid | use of electrically radiating equipment in close proximity to respiration measurement unit
it | avoid | use in proximity
it | avoid | use of electrically radiating equipment in close proximity
it | avoid | use of equipment in close proximity to respiration measurement unit
it | avoid | use of equipment
it | avoid | use in close proximity
it | avoid | use of electrically radiating equipment in proximity
it | avoid | use of radiating equipment in close proximity to respiration measurement unit
it | avoid | use of radiating equipment in proximity to respiration measurement unit
it | avoid | use of electrically radiating equipment in proximity to respiration measurement unit
it | is | recommended
it | avoid | use in proximity to respiration measurement unit
it | avoid | use
it | avoid | use of equipment in close proximity
it | avoid | use of electrically radiating equipment
use | is in | close proximity to respiration measurement unit
it | avoid | use of radiating equipment in close proximity
it | is | Therefore recommended
it | avoid | use of equipment in proximity
it | avoid | use of radiating equipment in proximity
Resp Accessories | use | ECG accessories listed
Resp Accessories | use | ECG accessories listed in Resp section
Resp Accessories | use | only non-OR ECG accessories
Resp Accessories | use | non-OR ECG accessories listed in Resp section
Resp Accessories | use | non-OR ECG accessories
Resp Accessories | use | only ECG accessories listed in Resp section of accessories chapter
Resp Accessories | use | non-OR ECG accessories listed in Resp section of accessories chapter
Resp Accessories | use | non-OR ECG accessories listed
Resp Accessories | use | only non-OR ECG accessories listed
Resp Accessories | use | ECG accessories
Resp Accessories | use | ECG accessories listed in Resp section of accessories chapter
Resp Accessories | use | only ECG accessories listed in Resp section
Resp Accessories | use | only non-OR ECG accessories listed in Resp section
Resp Accessories | use | only ECG accessories
Resp Accessories | use | only ECG accessories listed
Resp Accessories | use | only non-OR ECG accessories listed in Resp section of accessories chapter
Resp Safety Information136 9 9Monitoring SpO2 Philips pulse oximetry | based on | Fourier artefact suppression technology
Resp Safety Information136 9 9Monitoring SpO2 Philips pulse oximetry | uses | signal processing algorithm
Resp Safety Information136 9Monitoring SpO2 Philips pulse oximetry | based on | FAST
Resp Safety Information136 9Monitoring SpO2 Philips pulse oximetry | uses | signal processing algorithm
Resp Safety Information136 9Monitoring SpO2 Philips pulse oximetry | based on | Fourier artefact suppression technology
Resp Safety Information136 9Monitoring SpO2 Philips pulse oximetry | uses | motion-tolerant signal processing algorithm
Resp Safety Information136 9 9Monitoring SpO2 Philips pulse oximetry | based on | FAST
Resp Safety Information136 9 9Monitoring SpO2 Philips pulse oximetry | uses | motion-tolerant signal processing algorithm
percentage | is in | relation to sum of oxyhemoglobin
It | provides | four measurements
sum | to relation is | functional arterial oxygen saturation
patient | of | pulse
monitors | are | compatible
monitors | are also compatible with | SpO2 technologies from manufacturers
monitors | are also compatible with | SpO2 technologies from other manufacturers
monitors | are compatible with | SpO2 technologies from other manufacturers
monitors | are compatible with | SpO2 technologies from manufacturers
monitors | are compatible with | SpO2 technologies
monitors | are also compatible with | SpO2 technologies
monitors | are | also compatible
sensors | can | Depending on purchased SpO2 option can used
different sensors | can | can used
different sensors | can | Depending on purchased SpO2 option can used
different sensors | can | Depending on SpO2 option can used
sensors | can | Depending on SpO2 option can used
sensors | can | can used
sensors | are | color-coded
sensors | match | connectors
used | is appropriate for | your patient category
sensor | being | used
used | is | appropriate
Sensor 1 | Follow | SpO2 sensor 's instructions
Sensor | Follow | SpO2 sensor 's instructions for use
Sensor 1 | Follow | SpO2 sensor 's instructions for use
Sensor | Follow | SpO2 sensor 's instructions
SpO2 sensor | has | instructions for use
2 | Remove | colored nail polish
2 | Remove nail polish from | application site
2 | Remove | nail polish
application site | apply | pressure
application site | apply | excessive pressure
application site | should match | sensor size
patient | through | tissue
sensor | is | loose
sensor | is | too loose
it | is | too tight
it | is | tight
This | leading to | interstitial edema
This | can result in | venous congestion distal from application site
This | can result in | venous congestion distal
This | can result in | congestion distal from application site
This | can result in | congestion
This | leading to | edema
This | can result in | venous congestion
This | can result in | congestion distal
sensor application site | change | application site
sensor application site | change application site at | least four hours
this | can cause burns after | application
this | can cause | severe burns
this | can cause burns after | prolonged application
this | can cause | burns
SpO2 Cables | ♦ Connect sensor cable on | measurement device
SpO2 Cables | ♦ Connect sensor cable to | socket
SpO2 Cables | ♦ Connect | sensor cable
SpO2 Cables | ♦ Connect sensor cable to | color-coded socket
you | are using | sensor
you | are using | disposable sensor
sensor | connect | this
sensor cable | avoid | connector
sensor cable | avoid | interference
sensor cable | avoid | electrical interference
this | optimize | calculation
this | is | used
this | optimize | calculation of SpO2
SpO2138 | Assessing | Suspicious SpO2
Suspicious SpO2 | Reading | Monitoring SpO2
Suspicious SpO2 | Reading | 9 Monitoring SpO2
SpO2138 | causing | improper fit of sensor
WARNING | ensure | skin quality
skin quality changes | move | sensor
severe burns | Using | SpO2 sensor
severe burns | Using SpO2 sensor during | MR imaging
burns | Using | SpO2 sensor
burns | Using SpO2 sensor during | MR imaging
CAUTION dyes | may lead to | measurements
CAUTION Injected dyes | may lead to | measurements
CAUTION dyes | may lead to | inaccurate measurements
CAUTION Injected dyes | may lead to | inaccurate measurements
Interference | can | can caused by • levels of ambient light
Interference | can | can caused by • High levels
Interference | can | can caused by • levels
Interference | can | can caused
Interference | can | can caused by • High levels of light
Interference | can | can caused by • levels of light
Interference | can | can caused by • High levels of ambient light
Hint cover application site | is with | opaque material
pulse rate | Assessing | Suspicious SpO2 Reading
pulse rate | was compared with | heart rate from ECG
pulse rate | Assessing | Suspicious SpO2
pulse rate | confirm | validity
pulse rate | was compared with | heart rate
pulse rate | was | compared
pulse rate | Assessing | Suspicious SpO2 Reading Traditionally
pulse rate | confirm | validity of SpO2 reading
valid criteria | is With | newer algorithms such FAST-SpO2
this | is | valid
heart rate | calculated from | ECG
pulse rate | is | When low
strong arrhythmia | is | present
pulse rate | is | low
arrhythmia | is | present
pulse rate | is | When very low
pulse rate | is | very low
you | doubt | measured SpO2
you | doubt | SpO2
SpO2 | offers | high limit alarms
SpO2 | offers | limit alarms
you | measure | SpO2
monitor | is | configured
Select Low Limit | choose | alarm limit
Select Low Limit | choose | lower alarm limit
WARNING High oxygen levels | may predispose | infant to retrolental fibroplasia
WARNING High oxygen levels | may predispose | infant
WARNING High oxygen levels | may predispose | premature infant to fibroplasia
WARNING High oxygen levels | may predispose | infant to fibroplasia
WARNING High oxygen levels | may predispose | premature infant
WARNING High oxygen levels | may predispose | premature infant to retrolental fibroplasia
this | is | consideration
Transcutaneous pO2 monitoring | is | recommended
Transcutaneous pO2 monitoring | is recommended for | premature infants
Transcutaneous pO2 monitoring | is recommended for | infants
alarm | Adjusting | Desat Limit Alarm Desat alarm
threatening drops | is in | oxygen saturation
alarm | notifying | you
2 | Adjust | limit
Pleth Wave Pleth wave | is autoscaled to | display size
Pleth Wave Pleth wave | is | autoscaled
Pleth Wave Pleth wave | is autoscaled to | maximum display size
It | is | proportional
It | is | NOT directly proportional
It | is | directly proportional
It | is directly proportional to | pulse volume
It | is | NOT proportional
It | is NOT directly proportional to | pulse volume
It | is NOT proportional to | pulse volume
It | is proportional to | pulse volume
perfusion indicator | gives value for | pulsatile portion of signal caused by pulsating arterial blood flow
perfusion indicator | gives value for | pulsatile portion of signal caused by blood flow
perfusion indicator | gives value for | pulsatile portion of measured signal caused by pulsating blood flow
perfusion indicator | gives value for | portion of measured signal caused
you | need in | pulse volume
you | need indication in | pulse volume
perfusion indicator | gives | numerical value
perfusion indicator | gives value for | portion of measured signal caused by blood flow
perfusion indicator | gives value for | portion of signal caused
you | need | indication
perfusion indicator | gives value for | portion of signal
perfusion indicator | gives value for | portion of signal caused by blood flow
perfusion indicator | gives value for | pulsatile portion of signal
perfusion indicator | gives value for | pulsatile portion
perfusion indicator | gives value for | portion
you | need | indication of change
perfusion indicator | gives | value
perfusion indicator | gives value for | portion of signal caused by pulsating arterial blood flow
perfusion indicator | gives value for | portion of measured signal caused by pulsating blood flow
perfusion indicator | gives value for | pulsatile portion of signal caused by pulsating blood flow
perfusion indicator | gives value for | pulsatile portion of signal caused
perfusion indicator | gives value for | pulsatile portion of measured signal caused by pulsating arterial blood flow
you | indication of | change
perfusion indicator | gives value for | portion of signal caused by pulsating blood flow
perfusion indicator | gives value for | portion of measured signal caused by pulsating arterial blood flow
perfusion indicator | gives value for | pulsatile portion of measured signal caused by arterial blood flow
perfusion indicator | gives value for | portion of measured signal
perfusion indicator | gives value for | pulsatile portion of measured signal caused
perfusion indicator | gives value for | portion of signal caused by arterial blood flow
perfusion indicator | gives value for | portion of measured signal caused by arterial blood flow
perfusion indicator | gives value for | pulsatile portion of measured signal caused by blood flow
perfusion indicator | gives value for | pulsatile portion of measured signal
perfusion indicator | gives value for | pulsatile portion of signal caused by arterial blood flow
pulse oximetry | is based on | pulsatile nature of signal
pulse oximetry | is based on | nature of signal
you | can use perfusion indicator as | quality indicator
pulse oximetry | is based on | nature
you | can use perfusion indicator as | quality indicator for SpO2 measurement
you | can also use perfusion indicator as | quality indicator for SpO2 measurement
pulse oximetry | is based on | pulsatile nature
pulse oximetry | is | based
you | can also use perfusion indicator as | quality indicator
you | can also use | perfusion indicator
you | can use | perfusion indicator
1 | is | optimal
sensor | find | better site
0.3 | is | marginal
sensor | find | site
Pulse | enter | Setup Pulse menu
Pulse Source 1 | is In | Setup SpO2 menu
select Pulse | enter | Setup Pulse menu
heart rate | is currently selected as | active alarm source
QRS tone | is | derived
heart rate | is | selected
heart rate | is selected as | active alarm source
heart rate | is | currently selected
heart rate | is currently selected as | alarm source
heart rate | is selected as | alarm source
♦ | is In | Setup SpO2 menu
select Tone Modulation | toggle between | Yes
Tone Modulation | toggle between | Yes
Nellcor Puritan Bennett Incorporated | from US is | Tyco Healthcare company
Tone modulation | is | licensed under
Tone modulation | is | licensed
SpO2 measurement | is | When present through SpO2 module
SpO2 measurement | is present through | SpO2 module
second SpO2 measurement | is | When present
monitor | Calculating | SpO2 Difference
monitor | calculates | difference between them
second SpO2 measurement | is present through | SpO2 module
monitor | calculates | difference
SpO2 measurement | is | present
SpO2 measurement | is | When present
monitor | displays | SpO2 values
second SpO2 measurement | is | When present through SpO2 module
second SpO2 measurement | is | present
value | is subtracted from | first
value | is | subtracted
second value | is | subtracted
second value | is subtracted from | first
reliable SpO2 value141 9 Monitoring SpO2 Calculating SpO2 Difference1 | for size is | select Measurements
3 | Choose | first measurement source
3 | Choose | measurement source
intra-arterial measurements | is in | representative patient population
fifth Korotkoff sound | was used For | auscultatory reference
Korotkoff sound | determine | pressure
Korotkoff sound | was used For | reference
Korotkoff sound | was | used
fifth Korotkoff sound | was | used
fifth Korotkoff sound | determine | diastolic pressure
fifth Korotkoff sound | was used | determine
fifth Korotkoff sound | determine | pressure
fifth Korotkoff sound | was used For | reference
Korotkoff sound | was used For | auscultatory reference
Korotkoff sound | determine | diastolic pressure
Korotkoff sound | was used | determine
intra-arterial measurements | is in | representative patient population
NBP measurement | is suitable for | use
NBP measurement | is suitable for | use in presence
NBP measurement | is | suitable
use | is in | presence of electrosurgery
NBP measurement | is suitable for | use in presence of electrosurgery
physician | must determine | clinical significance
physician | must determine | clinical significance of NBP information
physician | must determine | significance of NBP information
physician | must determine | significance
cuff | deflates from | from systolic pressure
cuff | deflates from | from pressure
pressure changes | is in | occluding cuff
Oscillometric NBP Measurement Oscillometric devices | measure | amplitude
Oscillometric NBP Measurement Oscillometric devices | measure | amplitude of pressure changes in occluding cuff
Oscillometric NBP Measurement Oscillometric devices | measure | amplitude of pressure changes
occlusion | is in | artery
amplitude | suddenly increases as | pulse breaks through occlusion
amplitude | suddenly increases as | pulse breaks through occlusion in artery
amplitude | increases as | pulse breaks through occlusion
amplitude | suddenly increases as | pulse breaks
amplitude | increases as | pulse breaks through occlusion in artery
amplitude | increases as | pulse breaks
pulsations | increase in | amplitude
pulsations | reach | maximum
devices | are | in critical cases more accurate than devices
devices | are accurate than | devices
oscillometric devices | are accurate in | critical cases
devices | are | in cases accurate than devices
oscillometric devices | are | in critical cases more accurate than devices
oscillometric devices | are | especially in cases accurate than devices
devices | are | especially in critical cases accurate than devices
devices | are accurate in | critical cases
oscillometric devices | are | especially in cases more accurate than devices
oscillometric devices | are | in cases accurate than devices
devices | are | especially in cases accurate than devices
oscillometric devices | are | more accurate
devices | are | more accurate
devices | are | in cases more accurate than devices
oscillometric devices | are | accurate
oscillometric devices | are | especially in critical cases accurate than devices
devices | are | especially in cases more accurate than devices
devices | are | accurate
oscillometric devices | are accurate in | especially cases
devices | are | in critical cases accurate than devices
devices | are accurate in | especially cases
oscillometric devices | are accurate in | cases
devices | are | especially in critical cases more accurate than devices
devices | are more accurate in | critical cases
devices | are accurate in | cases
devices | are more accurate in | cases
oscillometric devices | are | in critical cases accurate than devices
oscillometric devices | are more accurate in | cases
oscillometric devices | are | in cases more accurate than devices
devices | are more accurate in | especially cases
oscillometric devices | are more accurate in | especially cases
oscillometric devices | are more accurate than | devices
oscillometric devices | are accurate in | especially critical cases
devices | are more accurate in | especially critical cases
oscillometric devices | are | especially in critical cases more accurate than devices
devices | are more accurate than | devices
oscillometric devices | are more accurate in | especially critical cases
oscillometric devices | are more accurate in | critical cases
devices | are accurate in | especially critical cases
oscillometric devices | are accurate than | devices
infusion | is | slowed
infusion | is | when slowed
This | could cause | tissue damage
infusion | blocked during | cuff inflation
This | could cause tissue damage around | catheter
skin damage | is | expected
you | spill particularly | liquid
risk | is in | limb fitted with cuff
you | spill | liquid
it | contact | your service personnel
patients | is with | severe blood clotting disorders
it | get inside | tubing
Measurement Limitations Measurements | are impossible with | heart rate extremes
Measurement Limitations Measurements | are | impossible
measurement | may | may inaccurate
• | is with | cardiac arrhythmias
three methods | measuring | NBP
• STAT | returns to | previous mode
monitor | returns to | mode
monitor | returns to | previous mode
Reference Method NBP measurement reference method | can | can Auscultatory
Adult mode | check | current setting
Adult mode | check | setting
invasive | is | In Neonatal mode always used as reference method
invasive | is | In mode always used as reference method
invasive | is always used as | reference method
invasive | is used as | reference method
invasive | is always used In | Neonatal mode
invasive | comply with | safety standards
invasive | is | always used
invasive | is used In | Neonatal mode
invasive | is | In mode used as reference method
invasive | is | used
invasive | is always used In | mode
invasive | is used In | mode
invasive | is | In Neonatal mode used as reference method
NBP | Connect | cuff
NBP | Connect cuff to | air tubing
NBP 1 | Connect | cuff
NBP 1 | Connect cuff to | air tubing
Air | must pass | unrestricted
cuff size | can cause | inaccurate measurements
wrong cuff size | can cause | measurements
cuff size | can cause | measurements
wrong cuff size | can cause | inaccurate measurements
width | should in | should range from 37 % to 47 %
width | should in | should range from 37 % to 47 % of limb circumference
width | should in | should range from 37 %
width | should in | should range
inflatable part | encircle | at least 80 % of limb
inflatable part | encircle | at least 80 %
part | encircle | at least 80 % of limb
part | encircle | at least 80 %
inflatable part | should | should long enough
inflatable part | should | should enough
part | should | should long enough
part | should | should enough
patient | as | heart
you | must use | measurement correction formula
you | correct | measurement
marking | must match | artery location
It | ischemia of | extremities
It | may cause | discoloration
skin quality | inspect extremity for | color
skin quality | inspect extremity for | normal color
skin quality | inspect | extremity of cuffed limb
skin quality | inspect | extremity
skin quality | inspect | extremity of limb
extremity circulation | is | is affected
Your monitor | display | only systolic values
Your monitor | display | values
Your monitor | display | only values
Your monitor | may | may configured
Your monitor | display | systolic values
you | have | alarm sources
you | have | parallel alarm sources
sources | are | displayed
inch higher | for mmHg is | 0.25 kPa
next measurement | is in | automatic series
cuff pressure | is displayed During | measurements
cuff pressure | is displayed instead of | units
cuff pressure | is | displayed
MMS hardkey | start | measurements
Measurements | Use | Setup menu
risk | is with | cuff
risk | is in | limb
Enabling Automatic Mode | is In | Setup NBP menu
Enabling Automatic Mode | select Auto/Man | Setting Repetition Time 1
Enabling Automatic Mode | Auto/Man | Setting Repetition Time 1
2 Toggle | pick | measurement method
alarm conditions | is in | systolic
alarm | is given with | priority
alarm | is | given
alarm | is given with | priority of mean
3 Reselect VeniPuncture | deflate | cuff
NBP display | shows inflation pressure During | measurement
NBP display | shows | inflation pressure of cuff
NBP display | shows | inflation pressure
NBP display | remaining time in | puncture mode
remaining time | is in | venous puncture mode
NBP display | time in | puncture mode
NBP display | time in | venous puncture mode
NBP display | remaining time in | venous puncture mode
Menu option Pressure value | monitored | Sys. systolic Dia
Menu option Pressure value | monitored | Sys. Dia
Multi-Measurement Server | one of | measurement server extensions
Mean | mean | Sys
diastolic Mean | mean | Sys
three pressures | is in | parallel
Sys | is in | parallel Dia
you | connect | probe
You | can switch manually | measurement
You | can switch | measurement
you | connect | probe
you | connect probe to | temperature cable
you | are using | probe
you | are using | disposable probe
Apply | probe to | patient
You | use rubber cover on | probes
You | use | rubber cover
You | use rubber cover on | rectal probes
You | use | protective rubber cover
You | are | advised
6 | Check | that
you | set alarm limits for | correct label
WARNING | Make | sure
you | set alarm limits for | label
you | set | alarm limits
you set | are | stored only
you set | are | stored
alarm limits | Changing | label
monitor | Temperature for | Monitoring
Temperature | Tell | monitor
you | want | monitor
label | is identifier for | type of temperature
label | is unique identifier for | type of temperature
label | is | unique
label | has | stored color settings
monitor | uses | that
you | choose | label
following additional labels | are | available
labels | are | available
additional labels | are | available
following labels | are | available
additional labels | is in | extended label set
your monitor | is connected to | Information Center
your monitor | is | connected
Calculating Temp Difference monitor | display | difference between two temperature values
Calculating Temp Difference monitor | display | difference
Temp Difference monitor | display | difference
Temp Difference monitor | display | difference between two temperature values
difference | is labeled | Temp
difference | is labeled | ∆ Temp
Multi-Measurement Server | one of | measurement server extensions
1 Plug | is in | pressure cable
transducer | are | free
transducer | free | stopcocks
transducer | are free of | air bubbles
air bubbles | appear in | tubing system
WARNING | flush system again with | infusion solution
WARNING | flush system with | infusion solution
WARNING | flush | system
WARNING | flush again | system
Air bubbles | may lead to | wrong pressure reading
Air bubbles | may lead to | pressure reading
4 | Connect | pressure line
4 | Connect pressure line to | patient catheter
you | are using | infusion pressure cuff
you | are using infusion pressure cuff with | pressure line
5 | attach | pressure cuff
5 | be | infused
5 | attach pressure cuff to | fluid
level | is with | heart
it | is | level
it | is level with | heart
patient | of | ear
MMS Module151 12 Monitoring Invasive Pressure level | is with | top of patient 's ear
leveling | may give | values
Incorrect leveling | may give | incorrect values
leveling | may give | incorrect values
Incorrect leveling | may give | values
monitor | Pressure for | Monitoring
Pressure | Tell | monitor
label | is unique identifier for | type of pressure
label | is | unique
label | is identifier for | type of pressure
monitor | uses | that
label | has | stored color
you | chose | label
Pressure Label | Set | additional labels
Pressure Label | Set | following additional labels
Extended Pressure Label | Set | additional labels
Extended Pressure Label | Set | labels
Extended Pressure Label | Set | following labels
Pressure Label | Set | labels
Extended Pressure Label | Set | following additional labels
Pressure Label | Set | following labels
additional labels | is in | extended label set
your monitor | is connected to | Information Center
your monitor | is | connected
Pressure Transducer | avoid | inaccurate pressure readings
monitor | Zeroing | Pressure Transducer
monitor | requires | valid zero
Pressure Transducer | avoid | pressure readings
monitor | has | pressure readings
You | must perform | zero
you | zero | ICP transducer
you | repeat | zero procedure
transducer | recalls | values
transducer | recalls | stored values
you | select | label ICP
you | zeroed transducer correctly in accordance with | transducer manufacturer 's instructions
you | zeroed correctly | transducer
you | zeroed transducer in accordance with | transducer manufacturer 's instructions
transducer manufacturer | in accordance with | instructions
you | zeroed | transducer
information | is in | status line
you | have performed | zero
pressure | has | setup menu
this | has | timed-out
ABP | done at | close
message <Press> | done on | status line
message <Press> | done at | <date and time>
message <Press> zero | done on | status line
message <Press> zero | done at | <date and time>
ABP zero | done at | 13 Mar 02 23.35 close
ABP | done at | 13 Mar 02 23.35 close
ABP zero | done at | close
Zero Hardkey | Pressing Zero hardkey for | two seconds
zero | Using | Zero Hardkey
Zero Hardkey | Pressing Zero hardkey for | two seconds M1006B Pressure module
Zero Hardkey | Pressing | Zero hardkey
pressure | being | measured
pressure | being measured by | measurement server
pressure transducers | are | vented
pressure transducers | are vented to | atmospheric pressure
pressure transducers | are vented to | pressure
153 12 Monitoring Pressure | using | Zero SmartKey
153 12 Monitoring Invasive Pressure | using | Zero SmartKey
zeroing | list of | active pressures
you | are measuring | pressures
you | zero | pressures
you | zero simultaneously | pressures
you | compare | calibration factor
you | compare | calibration factor written on your transducer
your transducer | is with | calibration factor shown on monitor
status line | probable cause of | unsuccessful zero
status line | lists | probable cause of unsuccessful zero
you | compare | calibration factor written on your transducer with calibration factor shown on monitor
you | compare | calibration factor written
status line | lists | probable cause
you | compare | calibration factor written on your transducer with calibration factor
you | compare | calibration factor written on your transducer with calibration factor shown
they | ensure | accurate measurement
they | must | must same
they | ensure | measurement
you | see | mean pressure
you | see | pressure
you | see | only pressure
you | see | only mean pressure
♦ | is In | pressure 's setup menu
pressure | In | setup menu
hardware | may | may faulty
signal | unable to | zero
unstable signal | unable to | zero
pressure | Make to | zero
pulsatile pressure | Make | sure
pulsatile pressure | Make to | zero
pressure | Make | sure
transducer | contact | adapter
transducer | contact | your service personnel
bottom gridline | is | set
bottom gridline | is set at | zero
gridline | is | set
gridline | is set at | zero
negative value | sets | gridline
value | sets | bottom gridline
value | sets | gridline
negative value | sets | bottom gridline
gridline | is | set
middle gridline | is | set
gridline | is set at | zero
middle gridline | is set at | zero
procedures | may affect | blood pressure
clinical procedures | may affect | blood pressure
Artifact Suppression | is | configured
Your monitor | may | may configured
monitor | shows During | artifact suppression
INOP message <Pressure label> ARTIFACT | shown | question mark
INOP message <Pressure label> ARTIFACT | is shown beside | pressure
INOP message <Pressure label> ARTIFACT | is | shown
Pressure alarms | suppressed | Pulse INOP
Pressure alarms | are suppressed during | period
Pressure alarms | are | suppressed
Pressure alarms | are suppressed during | configured period
Pressure alarms | suppressed | Pulse Non-Pulsatile INOP
you | set alarm limits for | correct label
WARNING | Make | sure
you | set alarm limits for | label
you | set | alarm limits
you set | are | stored only
you set | are | stored
alarm limits | Changing | label
alarm conditions | is in | systolic
You | can monitor singly for | alarm conditions
You | can monitor singly for | alarm conditions in systolic
You | can monitor for | alarm conditions
You | can monitor for | alarm conditions in systolic
alarm | is | given
♦ | is In | Setup <Press> menu
Menu option Pressure value | monitored | Sys. Dia
Menu option Pressure value | monitored | Sys. systolic Dia
Mean | mean | Sys
you | perform calibration in | mode
you | perform | calibration
Transducer | CPJ840J6Calibrating Transducer CPJ840J6 Depending | Depending your monitor 's configuration
you | perform calibration in | monitoring mode
diastolic Mean | mean | Sys
Transducer | CPJ840J6Calibrating | Reusable Transducer CPJ840J6
Transducer | CPJ840J6Calibrating | Transducer CPJ840J6
Sys | is in | parallel Dia
you | use | new transducer
you | use | transducer
You | require | • sphygmomanometer
You | require | • standard sphygmomanometer
• sterile 10cc syringe | is with | heparinised solution
patient | is | is monitored
2 | Connect | syringe
a. | Attach | tubing
a. | Attach tubing to | manometer
b. | Connect | stopcock
b. | Connect | 3-way stopcock
c. | Attach syringe to | one port
c. | Attach | syringe
3 | Move syringe barrel in | mercury
3 | Move | syringe barrel
3 | Move syringe barrel to | 30kPa
3 | Move syringe barrel to | 200mmHg
200mmHg | is | recommended calibration pressure
200mmHg | is | calibration pressure
M1006A 12 PIN PRESS | manometer | Syringe with heparinised solution Off Patient connection stoppered156
M1006A 12 PIN PRESS | manometer | Syringe with solution Off Patient connection stoppered156
M1006A PIN PRESS | PRESS | T ZERO tubing
Syringe | is with | heparinised solution Off Patient connection stoppered156
M1006A PIN PRESS | manometer | Syringe with solution
